question,answer,category,keywords,priority,is_active
"What is trend following?|Explain trend trading|Tell me about trend strategy","Trend following is a systematic trading strategy that identifies and capitalizes on sustained market movements. Our system analyzes price action, momentum indicators, and volume patterns to detect emerging trends. When a trend is confirmed, the bot enters positions in the direction of the trend and holds until reversal signals appear. This strategy works best in trending markets with clear directional bias.",strategy,"trend,strategy,trading,momentum",80,True
"What is range trading?|Explain range strategy|Tell me about range mode","Range trading (also called mean reversion) capitalizes on price oscillations within defined support and resistance levels. The system identifies when prices are overbought or oversold within a range, entering counter-trend positions expecting price to revert to the mean. This strategy excels in sideways, consolidating markets where price bounces between key levels.",strategy,"range,strategy,mean reversion,sideways",75,True
"What is breakout trading?|Explain breakout strategy","Breakout trading captures explosive price movements when prices break through established support or resistance levels. The system monitors consolidation patterns, volume increases, and momentum shifts to identify high-probability breakout setups. Positions are entered when breakouts are confirmed with strong volume and follow-through.",strategy,"breakout,strategy,support,resistance",75,True
"How do I setup a prop challenge?|Create prop firm challenge|Configure FTMO challenge","To setup a prop firm challenge: 1) Navigate to Challenge Setup from the dashboard, 2) Select your prop firm (FTMO, Funding Pips, etc.) or choose Custom, 3) Configure account size and rules, 4) Click 'Activate Challenge'. The system will automatically track your progress, enforce risk limits, and display your status in real-time. Visit /signals/challenge/setup/ to get started!",challenge,"challenge,prop,setup,ftmo,configuration",90,True
"What is my challenge status?|How am I doing in my challenge?|Am I passing my challenge?","Let me check your current challenge status... (This will dynamically load your progress, P&L, profit target completion, violations, and pass/fail indicators)",challenge,"challenge,status,progress,prop",85,True
"What is risk control?|Explain risk management|How does risk control work?","Risk Control is an automated system that monitors your trading performance and halts trading when predefined thresholds are breached. It tracks: 1) Drawdown percentage - stops trading if losses exceed your max drawdown limit, 2) Consecutive losses - halts after X losing trades in a row, 3) Daily loss limits - prevents further trading after daily threshold is hit. You can configure and manage Risk Control from your dashboard.",risk,"risk,control,drawdown,limits,halt",85,True
"What is my risk status?|Am I halted?|Check risk control","Let me check your risk control status... (This will show if trading is active or halted, current drawdown, consecutive losses, and reasons for any halts)",risk,"risk,status,halted,control",80,True
"How do I view my signals?|Where are my trades?|Show my trading history","All your signals and trades are displayed on the Dashboard at /signals/dashboard/. You can filter by mode (Trend/Range/Breakout), status (Open/Closed), and view detailed P&L for each trade. Click on any signal to see entry/exit details, stop loss, take profit, and performance metrics.",signals,"signals,trades,history,dashboard",70,True
"What are my statistics?|Show my performance|What is my win rate?","Let me pull up your trading statistics... (This will show total signals, win rate, total P&L, average P&L, and strategy breakdown)",signals,"statistics,performance,win rate,stats",85,True
"How do I connect TradingView?|Setup webhook|Configure alerts","To connect TradingView: 1) Copy your unique API key from the Dashboard, 2) In TradingView, create an alert for your strategy, 3) Set Alert Actions to 'Webhook URL', 4) Paste: http://your-domain.com/api/signals/webhook/?api_key=YOUR_KEY, 5) Set Message to JSON format with: mode, action, symbol, entry_price, stop_loss, take_profit, confidence, timestamp. Full documentation is available in Settings > API.",technical,"tradingview,webhook,api,setup,alerts",90,True
"What is the trade journal?|How do I use the journal?|Explain journal feature","The Trade Journal is a comprehensive trading diary where you can: 1) Record emotions and thoughts before/after trades, 2) Attach screenshots and notes, 3) Tag trades with emotions (confident, fearful, etc.), 4) Analyze patterns in your psychology, 5) Review what worked and what didn't. Access it at /signals/journal/ to improve your trading discipline.",journal,"journal,diary,emotions,notes,trading psychology",75,True
"What is trade replay?|How does replay work?|Explain replay mode","Trade Replay lets you review past trades with a candlestick chart showing: 1) Entry point marked with 🟢, 2) Stop loss level in red, 3) Take profit level in green, 4) Exit point marked with 🔴/🟢, 5) Play/pause controls to see price action step-by-step. This helps you analyze execution quality and learn from past trades. Access replays from the Actions column in your Dashboard.",replay,"replay,chart,review,candlestick,analysis",70,True
"How do I change my password?|Reset password|Update account settings","To change your password: 1) Click your username in the top-right corner, 2) Select 'Account Settings', 3) Navigate to 'Change Password', 4) Enter your current password and new password twice, 5) Click Save. For security, use a strong password with 8+ characters including numbers and symbols.",general,"password,security,account,settings",60,True
"What happens if I breach daily loss?|Violated daily loss limit|Exceeded drawdown","If you breach your daily loss limit in a prop challenge: 1) The system will mark a violation in your Challenge Overview, 2) Current trade will be allowed to close, 3) Future trades may be blocked depending on firm rules, 4) Violation counter increments, 5) If using Risk Control, trading may be halted until reset. You can view violation details in /signals/challenge/overview/.",challenge,"violation,daily loss,breach,prop challenge",80,True
"How do I calculate position size?|Position sizing help|Risk per trade","Position sizing should be based on: 1) Account size, 2) Risk percentage (typically 1-2% per trade), 3) Stop loss distance in pips/points. Formula: Position Size = (Account Size × Risk %) / (Stop Loss Distance × Point Value). Example: $10,000 account, 1% risk, 50 pip SL = $100 risk / 50 pips = $2 per pip = 2 mini lots. Always respect your prop firm's leverage limits!",risk,"position size,risk,calculation,leverage",75,True
"What is confidence score?|Explain signal confidence|How is confidence calculated?","Confidence score (0-100) represents the signal strength based on multiple factors: 1) Trend alignment - price moving with larger timeframe trend, 2) Volume confirmation - increasing volume on entries, 3) Momentum strength - RSI/MACD alignment, 4) Support/resistance proximity, 5) News event distance. Higher confidence (>70) suggests stronger setups, while lower confidence (<50) indicates weaker signals that may require caution.",signals,"confidence,score,signal strength,probability",70,True
"How often should I trade?|Trading frequency|How many trades per day?","Trading frequency depends on your strategy and prop firm requirements: 1) Trend following: 2-5 trades/week during trending markets, 2) Range trading: 5-15 trades/week in consolidation, 3) Breakout: 3-8 trades/week waiting for setups. For prop challenges, ensure you meet minimum trading days (typically 5-10 days) while avoiding overtrading. Quality over quantity - wait for high-confidence setups!",strategy,"frequency,trading,how many trades,overtrading",65,True
"What is the best strategy?|Which mode should I use?|Trend vs Range vs Breakout","There is no 'best' strategy - each excels in different market conditions: 1) Trend following: Best in strong directional markets (forex trends, commodity runs), 2) Range trading: Best in sideways, low-volatility markets, 3) Breakout: Best during high-impact news or consolidation breakouts. The system automatically suggests the optimal mode based on current market analysis. Diversifying across strategies can improve consistency.",strategy,"best strategy,which mode,trend vs range,strategy comparison",70,True
"Can I customize risk limits?|Change risk settings|Modify stop loss","Yes! You can customize risk parameters: 1) Risk Control: Set your own max drawdown %, consecutive loss limit, and daily loss threshold from Dashboard > Risk Control, 2) Prop Challenge: Configure challenge rules during setup (daily/overall loss %, profit target), 3) Signal Parameters: While you can't modify individual signal SL/TP levels after entry, you can adjust your overall risk tolerance in settings. Always align with your prop firm's requirements.",risk,"customize,settings,risk limits,stop loss modification",65,True
"What do I do if I'm failing my challenge?|Challenge failure help|Not passing prop challenge","If you're struggling with your challenge: 1) Review violations in Challenge Overview - identify which rules you're breaking, 2) Reduce position sizes - trade smaller to stay within daily loss limits, 3) Be selective - wait for high-confidence signals (>70 score), 4) Use the Trade Journal - identify emotional patterns leading to losses, 5) Take a break - reset mentally before continuing, 6) Contact support if system issues occurred. Remember: Most traders fail their first challenge - learn and try again!",challenge,"failing,challenge failure,struggling,help,not passing",75,True
